s.no,EngDispl,NumCyl,FE,NumGears,TransLockup,TransCreeperGear,IntakeValvePerCyl,ExhaustValvesPerCyl,VarValveTiming,VarValveLift,FE(PREDICT),ERR,ABS ERR,MAPE,,,
1,5.9,12,22.9258,6,0,0,2,2,0,0,23.89383776,-0.968037762,0.968037762,0.042224819,,,
2,4.2,8,26.7678,6,0,0,2,2,1,0,31.58025089,-4.812450885,4.812450885,0.179785073,,,
3,4.2,8,24.301,6,0,0,2,2,1,0,31.58025089,-7.279250885,7.279250885,0.299545323,,MODEL1,
4,5.2,10,24.3325,6,0,0,2,2,1,0,27.0588314,-2.726331401,2.726331401,0.112044854,,,Coefficients
5,5.2,10,23.0667,6,0,0,2,2,1,0,27.0588314,-3.992131401,3.992131401,0.17306903,,Intercept,51.13577376
6,3,6,32.8579,7,1,0,2,2,1,0,37.00595427,-4.148054266,4.148054266,0.126242221,,,-4.6382822
7,1.5,4,52.2,6,0,0,2,2,1,1,43.78808349,8.411916507,8.411916507,0.161147826,,,
8,1.5,4,55.6446,1,1,0,2,2,1,1,43.78808349,11.85651651,11.85651651,0.213075779,,MODEL2,
9,6.3,8,26,7,1,0,2,2,1,0,22.08526997,3.914730032,3.914730032,0.15056654,,,Coefficients
10,6,12,25,5,1,0,2,1,1,0,23.44169581,1.558304187,1.558304187,0.062332167,,Intercept,49.91452766
11,6.2,8,26.8,7,0,0,2,2,1,0,22.53741192,4.262588083,4.262588083,0.159051794,,,-4.401495221
12,3.6,6,32.2993,6,0,0,2,2,1,1,34.29310258,-1.993802576,1.993802576,0.061728972,,,
13,3.8,6,36.7669,7,1,0,2,2,1,1,33.38881868,3.378081321,3.378081321,0.091878329,,MODEL3,
14,3.4,6,41.347,7,1,0,2,2,1,1,35.19738647,6.149613527,6.149613527,0.148731795,,,Coefficients
15,3.4,6,37.055,6,0,0,2,2,1,1,35.19738647,1.857613527,1.857613527,0.050131252,,Intercept,50.66033674
16,5,8,30.8503,6,1,0,2,2,1,1,27.9631153,2.887184702,2.887184702,0.093586925,,,-4.524481031
17,3.8,6,36.7669,7,1,0,2,2,1,1,33.38881868,3.378081321,3.378081321,0.091878329,,,
18,3.8,6,34.8617,6,0,0,2,2,1,1,33.38881868,1.472881321,1.472881321,0.042249268,,,
19,3.8,6,37.0666,7,1,0,2,2,1,1,33.38881868,3.677781321,3.677781321,0.099220898,,AVG OF THREE MODELS,
20,3.8,6,36.0277,6,0,0,2,2,1,1,33.38881868,2.638881321,2.638881321,0.0732459,,,Coefficients
21,6,12,24.7,6,0,0,2,2,1,0,23.44169581,1.258304187,1.258304187,0.050943489,,Intercept,50.57021272
22,3,6,36.4738,6,0,0,2,2,1,0,37.00595427,-0.532154266,0.532154266,0.014590042,,,-4.521419484
23,3,6,32.8579,7,1,0,2,2,1,0,37.00595427,-4.148054266,4.148054266,0.126242221,,,
24,3,6,36.4738,6,0,0,2,2,1,0,37.00595427,-0.532154266,0.532154266,0.014590042,,,
25,3,6,32.8579,7,1,0,2,2,1,0,37.00595427,-4.148054266,4.148054266,0.126242221, ,MAPE=,0.1122
26,1.6,4,54.2501,6,1,1,2,2,1,0,43.33594154,10.91415846,10.91415846,0.201182274,,,
