EngDispl,NumCyl,FE,NumGears,TransLockup,TransCreeperGear,IntakeValvePerCyl,ExhaustValvesPerCyl,VarValveTiming,VarValveLift,id,beta0,beta1
4.7,8,28.0198,6,1,0,2,2,1,0,1,50.56,-4.52
4.7,8,25.6094,6,1,0,2,2,1,0,2,50.56,-4.52
4.2,8,26.8,6,1,0,2,2,1,0,3,50.56,-4.52
4.2,8,25.0451,6,1,0,2,2,1,0,4,50.56,-4.52
5.2,10,24.8,6,0,0,2,2,1,0,5,50.56,-4.52
5.2,10,23.9,6,0,0,2,2,1,0,6,50.56,-4.52
2,4,39.7256,6,0,0,2,2,1,0,7,50.56,-4.52
6,12,24.4,6,0,0,2,2,1,0,8,50.56,-4.52
3,6,39.7103,6,1,0,2,2,1,1,9,50.56,-4.52
3,6,38.7896,6,0,0,2,2,1,1,10,50.56,-4.52
3,6,33.6296,7,1,0,2,2,1,0,11,50.56,-4.52
3,6,35.2678,6,0,0,2,2,1,0,12,50.56,-4.52
8,16,17.8,7,0,0,2,2,1,0,13,50.56,-4.52
6.2,8,27.1,6,0,0,1,1,0,0,14,50.56,-4.52
6.2,8,34.3493,6,1,0,1,1,0,0,15,50.56,-4.52
6.2,8,35.8,6,0,0,1,1,0,0,16,50.56,-4.52
7,8,33.7,6,0,0,1,1,0,0,17,50.56,-4.52
8.4,10,30,6,0,0,1,1,1,0,18,50.56,-4.52
8.4,10,30,6,0,0,1,1,1,0,19,50.56,-4.52
4.5,8,24.3499,7,0,0,2,2,1,0,20,50.56,-4.52
5.7,12,20.99,6,0,0,2,2,1,0,21,50.56,-4.52
5.7,12,21.1,6,0,0,2,2,1,0,22,50.56,-4.52
5.2,10,25.4,6,1,0,2,2,1,0,23,50.56,-4.52
5.2,10,24,6,0,0,2,2,1,0,24,50.56,-4.52
5.2,10,25.4,6,0,0,2,2,1,0,25,50.56,-4.52
5.2,10,22.6,6,0,0,2,2,1,0,26,50.56,-4.52
6.5,12,17.5,7,0,0,2,2,1,0,27,50.56,-4.52
6.5,12,19.9,7,0,0,2,2,1,0,28,50.56,-4.52
6.5,12,19.9,7,0,0,2,2,1,0,29,50.56,-4.52
6.5,12,17.5,7,0,0,2,2,1,0,30,50.56,-4.52
6.5,12,19.9,7,0,0,2,2,1,0,31,50.56,-4.52
1.8,4,37.62,6,0,0,2,2,1,1,32,50.56,-4.52
1.8,4,37.0028,6,0,0,2,2,1,1,33,50.56,-4.52
2,4,38.9959,5,0,0,2,2,1,0,34,50.56,-4.52
2,4,39,6,0,0,2,2,1,0,35,50.56,-4.52
2,4,38.512,6,1,0,2,2,1,0,36,50.56,-4.52
5.5,8,29.3,7,1,0,2,2,1,0,37,50.56,-4.52
3,6,35.9,6,0,0,2,2,1,0,38,50.56,-4.52
3.5,6,36.2,7,1,0,2,2,1,0,39,50.56,-4.52
3.5,6,34.5,7,1,0,2,2,1,0,40,50.56,-4.52
3.5,6,34.7927,6,0,0,2,2,1,0,41,50.56,-4.52
5.5,8,30.8,7,1,0,2,1,1,0,42,50.56,-4.52
1,3,57.8,5,1,0,2,2,1,0,43,50.56,-4.52
1,3,57.8,5,1,0,2,2,1,0,44,50.56,-4.52
3.7,6,35.9802,6,1,0,2,2,1,1,45,50.56,-4.52
3.7,6,36.9,7,1,0,2,2,1,1,46,50.56,-4.52
3.7,6,34.5832,7,1,0,2,2,1,1,47,50.56,-4.52
3.7,6,34.9,6,0,0,2,2,1,1,48,50.56,-4.52
2,4,37.5,5,1,0,2,2,1,0,49,50.56,-4.52
2,4,40,5,0,0,2,2,1,0,50,50.56,-4.52
2.4,4,33.6,5,1,0,2,2,1,0,51,50.56,-4.52
2.4,4,36.4,5,0,0,2,2,1,0,52,50.56,-4.52
3.8,6,28.5532,6,0,0,2,2,1,1,53,50.56,-4.52
3.8,6,27.372,6,0,0,2,2,1,1,54,50.56,-4.52
2.9,6,37.3296,6,0,0,2,2,1,1,55,50.56,-4.52
2.9,6,41.3608,7,0,0,2,2,1,1,56,50.56,-4.52
3.4,6,36.7299,6,0,0,2,2,1,1,57,50.56,-4.52
3.4,6,40.9978,7,0,0,2,2,1,1,58,50.56,-4.52
2.9,6,37.3296,6,0,0,2,2,1,1,59,50.56,-4.52
2.9,6,41.3608,7,0,0,2,2,1,1,60,50.56,-4.52
3.4,6,36.7299,6,0,0,2,2,1,1,61,50.56,-4.52
3.4,6,40.9978,7,0,0,2,2,1,1,62,50.56,-4.52
2,4,37.5,5,1,0,2,2,1,0,63,50.56,-4.52
2,4,40,5,0,0,2,2,1,0,64,50.56,-4.52
2.4,4,36.4,5,0,0,2,2,1,0,65,50.56,-4.52
2.4,4,33.6,5,1,0,2,2,1,0,66,50.56,-4.52
4.2,8,27.471,6,1,0,3,2,1,0,67,50.56,-4.52
5.9,12,23.6523,6,1,0,2,2,0,0,68,50.56,-4.52
5.9,12,27.2408,6,1,0,2,2,0,0,69,50.56,-4.52
5.9,12,22.9258,6,1,0,2,2,0,0,70,50.56,-4.52
5.9,12,24.6983,6,1,0,2,2,0,0,71,50.56,-4.52
4.3,8,26.1157,7,0,0,2,2,1,0,72,50.56,-4.52
5,8,32.8808,6,1,0,2,2,1,1,73,50.56,-4.52
5,8,30.3378,6,1,0,2,2,1,0,74,50.56,-4.52
5,8,30.8027,6,1,0,2,2,1,1,75,50.56,-4.52
4.3,8,31.6,6,1,0,2,2,1,0,76,50.56,-4.52
3.5,6,35.5,6,0,0,2,2,1,0,77,50.56,-4.52
1.6,4,51.6555,6,0,0,2,2,1,1,78,50.56,-4.52
1.6,4,47.2025,6,1,0,2,2,1,1,79,50.56,-4.52
1.6,4,52,6,0,0,2,2,1,1,80,50.56,-4.52
1.6,4,47.2025,6,1,0,2,2,1,1,81,50.56,-4.52
1.6,4,44.5714,6,1,0,2,2,1,0,82,50.56,-4.52
1.6,4,47.7592,6,0,0,2,2,1,0,83,50.56,-4.52
1.6,4,44.5714,6,1,0,2,2,1,0,84,50.56,-4.52
1.6,4,47.7592,6,0,0,2,2,1,0,85,50.56,-4.52
1.6,4,46.5047,6,0,0,2,2,1,1,86,50.56,-4.52
1.6,4,46.5047,6,0,0,2,2,1,1,87,50.56,-4.52
2.4,4,36.2628,4,1,0,2,2,0,1,88,50.56,-4.52
3.8,6,33.2,5,1,0,2,2,0,1,89,50.56,-4.52
3.6,6,35.2427,6,0,0,2,2,1,1,90,50.56,-4.52
